task_id,task_label,continual_label,source_label,category_id,category_name
0,0,0,494,9865,Dicksonia squarrosa
0,1,1,434,8459,Marrubium vulgare
0,2,2,286,5737,Leucobryum glaucum
0,3,3,5,78,Hasarius adansoni
0,4,4,242,4947,Pantherophis emoryi
0,5,5,334,6673,Carlina acaulis
0,6,6,267,5376,Diloma aethiops
0,7,7,154,3157,Gypaetus barbatus
0,8,8,393,7720,Chimaphila maculata
0,9,9,277,5559,Volvopluteus gloiocephalus
1,0,10,476,9571,Acer macrophyllum
1,1,11,215,4455,Melanerpes lewis
1,2,12,362,7059,Urospermum picroides
1,3,13,118,2357,Ceriagrion auranticum
1,4,14,48,924,Perispasta caeculalis
1,5,15,191,3983,Luscinia svecica
1,6,16,316,6339,Bouteloua hirsuta
1,7,17,34,678,Apis florea
1,8,18,172,3577,Momotus lessonii
1,9,19,329,6598,Ageratina altissima
2,0,20,130,2628,Pseudochorthippus curtipennis
2,1,21,293,5876,Agave shawii
2,2,22,106,1994,Ypthima huebneri
2,3,23,11,212,Cicindela sexguttata
2,4,24,388,7654,Lonicera tatarica
2,5,25,478,9612,Sedum acre
2,6,26,107,1995,Endrosis sarcitrella
2,7,27,27,464,Eristalinus aeneus
2,8,28,297,5901,Hyacinthoides non-scripta
2,9,29,285,5728,Tremella mesenterica
3,0,30,70,1222,Glenoides texanaria
3,1,31,196,4089,Vermivora chrysoptera
3,2,32,348,6890,Matricaria chamomilla
3,3,33,15,285,Gastrophysa viridula
3,4,34,79,1513,Plebejus argus
3,5,35,197,4162,Prunella modularis
3,6,36,461,9228,Clematis lasiantha
3,7,37,126,2523,Nannodiplax rubra
3,8,38,95,1776,Anartia fatima
3,9,39,485,9766,Krameria erecta
4,0,40,314,6243,Carex granularis
4,1,41,100,1891,Junonia oenone
4,2,42,497,9974,Cryptogramma acrostichoides
4,3,43,111,2092,Pieris brassicae
4,4,44,227,4652,Dama dama
4,5,45,94,1757,Schizura unicornis
4,6,46,365,7105,Lobelia inflata
4,7,47,464,9247,Eranthis hyemalis
4,8,48,64,1120,Scoliopteryx libatrix
4,9,49,343,6816,Hazardia squarrosa
5,0,50,32,554,Pacarina puella
5,1,51,399,7788,Vaccinium angustifolium
5,2,52,109,2060,Catopsilia pomona
5,3,53,268,5387,Tonicella lineata
5,4,54,345,6848,Inula helenium
5,5,55,92,1740,Heterocampa guttivitta
5,6,56,97,1791,Asterocampa leilia
5,7,57,89,1698,Rachiplusia ou
5,8,58,69,1175,Colostygia pectinataria
5,9,59,281,5636,Phellinus robiniae
6,0,60,254,5065,Urosaurus ornatus
6,1,61,376,7313,Amaranthus palmeri
6,2,62,327,6529,Polytaenia texana
6,3,63,184,3861,Stelgidopteryx serripennis
6,4,64,2,42,Nuctenea umbratica
6,5,65,336,6705,Cirsium discolor
6,6,66,445,8758,Liriodendron tulipifera
6,7,67,17,337,Larinus carlinae
6,8,68,298,5908,Maianthemum racemosum
6,9,69,188,3911,Lanius ludovicianus
7,0,70,0,6,Aculepeira ceropegia
7,1,71,290,5807,Symplocarpus foetidus
7,2,72,433,8442,Glechoma hederacea
7,3,73,429,8336,Galium album
7,4,74,269,5465,Hypomyces chrysospermus
7,5,75,283,5670,Phlebia incarnata
7,6,76,50,975,Arachnis picta
7,7,77,312,6113,Tradescantia spathacea
7,8,78,255,5087,Gonatodes albogularis
7,9,79,452,9087,Bauera rubioides
8,0,80,346,6853,Iva frutescens
8,1,81,436,8491,Salvia lyrata
8,2,82,243,4953,Pituophis catenifer
8,3,83,406,7871,Primula parryi
8,4,84,190,3957,Anthus cinnamomeus
8,5,85,99,1834,Dione juno
8,6,86,263,5314,Pteraeolidia semperi
8,7,87,237,4767,Tachyglossus aculeatus
8,8,88,440,8667,Penstemon newberryi
8,9,89,421,8114,Vicia gigantea
9,0,90,351,6919,Palafoxia arida
9,1,91,22,383,Euphoria inda
9,2,92,349,6905,Olearia arborescens
9,3,93,108,2020,Papilio glaucus
9,4,94,444,8708,Buddleja cordata
9,5,95,175,3690,Aegithina tiphia
9,6,96,357,6998,Solidago gigantea
9,7,97,239,4778,Alouatta seniculus
9,8,98,73,1333,Ampittia dioscorides
9,9,99,4,59,Hogna radiata
