category_id,category_name,common_name,kingdom,supercategory
6,Aculepeira ceropegia,Oak Spider,Animalia,Arachnids
7,Agalenatea redii,Gorse Orbweaver,Animalia,Arachnids
42,Nuctenea umbratica,Walnut Orbweaver,Animalia,Arachnids
55,Kukulcania hibernalis,Southern House Spider,Animalia,Arachnids
59,Hogna radiata,Radiated Wolf Spider,Animalia,Arachnids
78,Hasarius adansoni,Adanson's House Jumper,Animalia,Arachnids
79,Helpis minitabunda,Bronze hopper,Animalia,Arachnids
94,Phidippus johnsoni,Johnson's Jumping Spider,Animalia,Arachnids
172,Semibalanus balanoides,Northern Rock Barnacle,Animalia,Animalia
173,Semibalanus cariosus,Thatched Barnacle,Animalia,Animalia
183,Arrhenodes minutus,Oak Timberworm,Animalia,Insects
212,Cicindela sexguttata,Six-spotted Tiger Beetle,Animalia,Insects
234,Megacyllene robiniae,Locust Borer,Animalia,Insects
244,Prionus coriarius,The Tanner,Animalia,Insects
248,Rhagium inquisitor,Ribbed Pine Borer,Animalia,Insects
285,Gastrophysa viridula,Green Dock-beetle,Animalia,Insects
316,Cryptolaemus montrouzieri,Mealybug Destroyer,Animalia,Insects
337,Larinus carlinae,Canada Thistle Bud Weevil,Animalia,Insects
358,Lucanus capreolus,Reddish-brown Stag Beetle,Animalia,Insects
360,Lucanus elaphus,Giant Stag Beetle,Animalia,Insects
370,Oedemera femorata,Oedemera femorata,Animalia,Insects
372,Odontotaenius disjunctus,Patent-leather beetle,Animalia,Insects
383,Euphoria inda,Bumble Flower Beetle,Animalia,Insects
404,Valgus hemipterus,Valgus hemipterus,Animalia,Insects
409,Nicrophorus vespilloides,Lesser Vespillo Burying Beetle,Animalia,Insects
426,Mallophora leschenaulti,Beelzebub Bee-eater,Animalia,Insects
445,Aedes vexans,Inland Floodwater Mosquito,Animalia,Insects
464,Eristalinus aeneus,Common Lagoon Fly,Animalia,Insects
466,Eristalis arbustorum,European Drone Fly,Animalia,Insects
506,Hexagenia limbata,Giant Mayfly,Animalia,Insects
519,Aphis nerii,Milkweed Aphid,Animalia,Insects
526,Prosapia bicincta,Two-lined Spittlebug,Animalia,Insects
554,Pacarina puella,Little mesquite cicada,Animalia,Insects
658,Zelus renardii,Leafhopper Assassin Bug,Animalia,Insects
678,Apis florea,Dwarf Honey Bee,Animalia,Insects
715,Xylocopa virginica,Eastern Carpenter Bee,Animalia,Insects
737,Evania appendigaster,Cockroach Egg Parasitoid Wasp,Animalia,Insects
769,Tapinoma sessile,Odorous House Ant,Animalia,Insects
772,Agapostemon splendens,Brown-winged Striped Sweat Bee,Animalia,Insects
774,Augochlora pura,Pure Green Sweat Bee,Animalia,Insects
807,Sphex pensylvanicus,Great Black Wasp,Animalia,Insects
821,Pachodynerus erynnis,Red and Black Mason Wasp,Animalia,Insects
846,Vespula vidua,Widow Yellowjacket,Animalia,Insects
855,Prionoxystus robiniae,Carpenterworm Moth,Animalia,Insects
875,Crambus perlella,Yellow Satin Veneer,Animalia,Insects
887,Euchromius ocellea,Belted Grass-veneer,Animalia,Insects
900,Leucinodes cordalis,Poroporo fruit borer,Animalia,Insects
916,Palpita vitrealis,Jasmine Moth,Animalia,Insects
924,Perispasta caeculalis,Titian Peale's Crambid,Animalia,Insects
943,Sitochroa palealis,Carrot Seed Moth,Animalia,Insects
975,Arachnis picta,Painted Tiger Moth,Animalia,Insects
982,Asota caricae,Tropical Tiger Moth,Animalia,Insects
995,Catocala cara,Darling Underwing,Animalia,Insects
1020,Dasychira chekiangensis,Zhejiang Tussock Moth,Animalia,Insects
1029,Estigmene acrea,Salt Marsh Moth,Animalia,Insects
1032,Euclidia cuspidea,Toothed Somberwing,Animalia,Insects
1066,Laspeyria flexula,Beautiful Hook-tip,Animalia,Insects
1078,Melipotis indomita,Indomitable Melipotis,Animalia,Insects
1088,Nyctemera amicus,Senecio Moth,Animalia,Insects
1094,Orgyia leucostigma,White-marked Tussock Moth,Animalia,Insects
1096,Orgyia vetusta,Western Tussock Moth,Animalia,Insects
1102,Panopoda rufimargo,Red-lined Panopoda,Animalia,Insects
1106,Perina nuda,Banyan tussock moth,Animalia,Insects
1111,Phragmatobia fuliginosa,Ruby Tiger Moth,Animalia,Insects
1120,Scoliopteryx libatrix,The Herald,Animalia,Insects
1142,Marathyssa inficita,Dark Marathyssa Moth,Animalia,Insects
1156,Biston betularia,Pepper-and-salt Geometer,Animalia,Insects
1169,Chloroclystis filata,Australian Pug Moth,Animalia,Insects
1170,Chloroclystis inductata,Chloroclystis inductata,Animalia,Insects
1175,Colostygia pectinataria,Green Carpet,Animalia,Insects
1222,Glenoides texanaria,Texas Gray Moth,Animalia,Insects
1274,Obeidia tigrata,Orange Magpie Moth,Animalia,Insects
1294,Plagodis serinaria,Lemon Plagodis,Animalia,Insects
1333,Ampittia dioscorides,Common Bush Hopper,Animalia,Insects
1347,Calpodes ethlius,Brazilian Skipper,Animalia,Insects
1389,Pelopidas mathias,Small Branded Swift,Animalia,Insects
1439,Anthene emolus,Common Ciliate Blue,Animalia,Insects
1478,Glaucopsyche lygdamus,Silvery Blue,Animalia,Insects
1480,Heliophorus epicles,Purple Sapphire,Animalia,Insects
1513,Plebejus argus,Silver-studded Blue,Animalia,Insects
1528,Satyrium edwardsii,Edwards' Hairstreak,Animalia,Insects
1535,Strymon istapa,Mallow Scrub-Hairstreak,Animalia,Insects
1557,Acronicta oblinita,Smeared Dagger Moth,Animalia,Insects
1565,Agrotis ipsilon,Black Cutworm,Animalia,Insects
1570,Agrotis venerabilis,Venerable Dart,Animalia,Insects
1585,Autographa precationis,Common Looper Moth,Animalia,Insects
1587,Balsa tristrigella,Three-lined Balsa Moth,Animalia,Insects
1605,Cosmia trapezina,Dun-bar,Animalia,Insects
1697,Psychomorpha epimenis,Grapevine Epimenis Moth,Animalia,Insects
1698,Rachiplusia ou,Gray Looper Moth,Animalia,Insects
1727,Nola cereella,Sorghum Webworm Moth,Animalia,Insects
1735,Destolmia lineata,Destolmia lineata,Animalia,Insects
1740,Heterocampa guttivitta,Saddled Prominent,Animalia,Insects
1744,Nadata gibbosa,White-dotted Prominent Moth,Animalia,Insects
1757,Schizura unicornis,Unicorn Prominent,Animalia,Insects
1776,Anartia fatima,Banded Peacock,Animalia,Insects
1786,Argynnis pandora,Cardinal Butterfly,Animalia,Insects
1791,Asterocampa leilia,Empress Leilia,Animalia,Insects
1816,Chlosyne palla,Northern Checkerspot,Animalia,Insects
1834,Dione juno,Juno Silverspot,Animalia,Insects
1891,Junonia oenone,Dark blue pansy,Animalia,Insects
1900,Lethe appalachia,Appalachian Eyed Brown,Animalia,Insects
1903,Lethe eurydice,Eyed Brown,Animalia,Insects
1914,Maniola jurtina,Meadow Brown,Animalia,Insects
1925,Melitaea cinxia,Glanville Fritillary,Animalia,Insects
1947,Phaedyma columella,Short Banded Sailer,Animalia,Insects
1994,Ypthima huebneri,Common Four-ring,Animalia,Insects
1995,Endrosis sarcitrella,White-shouldered House Moth,Animalia,Insects
2020,Papilio glaucus,Eastern Tiger Swallowtail,Animalia,Insects
2060,Catopsilia pomona,Lemon Migrant,Animalia,Insects
2089,Phoebis agarithe,Large Orange Sulphur,Animalia,Insects
2092,Pieris brassicae,Large White Butterfly,Animalia,Insects
2100,Pontia edusa,Eastern Bath White,Animalia,Insects
2138,Apodemia virgulti,Behr's Metalmark,Animalia,Insects
2141,Caria ino,Red-bordered Metalmark,Animalia,Insects
2225,Xylophanes tersa,Tersa Sphinx,Animalia,Insects
2242,Clepsis persicana,White Triangle Tortrix,Animalia,Insects
2329,Austroargiolestes icteromelas,Common Flatwing,Animalia,Insects
2357,Ceriagrion auranticum,Orange-tailed Sprite,Animalia,Insects
2358,Ceriagrion cerinorubellum,Orange-tailed Marsh Dart,Animalia,Insects
2367,Enallagma carunculatum,Tule Bluet,Animalia,Insects
2399,Pyrrhosoma nymphula,Large Red Damselfly,Animalia,Insects
2438,Phanogomphus spicatus,Dusky Clubtail,Animalia,Insects
2466,Acisoma panorpoides,Grizzled Pintail,Animalia,Insects
2478,Crocothemis erythraea,Broad Scarlet,Animalia,Insects
2519,Libellula vibrans,Great Blue Skimmer,Animalia,Insects
2523,Nannodiplax rubra,Pygmy Percher,Animalia,Insects
2574,Sympetrum striolatum,Common Darter,Animalia,Insects
2603,Camnula pellucida,Clear-winged Grasshopper,Animalia,Insects
2612,Euthystira brachyptera,Small Gold Grasshopper,Animalia,Insects
2628,Pseudochorthippus curtipennis,Marsh meadow grasshopper,Animalia,Insects
2644,Gryllodes sigillatus,Tropical House Cricket,Animalia,Insects
2694,Megaphasma denticrus,Giant Walkingstick,Animalia,Insects
2741,Stenopus hispidus,Banded Coral Shrimp,Animalia,Animalia
2763,Carassius auratus,Goldfish,Animalia,Ray-finned Fishes
2814,Cheilodactylus nigripes,Magpie Perch,Animalia,Ray-finned Fishes
2853,Morone saxatilis,Striped Bass,Animalia,Ray-finned Fishes
2894,Sphyraena barracuda,Great Barracuda,Animalia,Ray-finned Fishes
2927,Diodon hystrix,Giant Porcupinefish,Animalia,Ray-finned Fishes
2943,Anaxyrus boreas,Western Toad,Animalia,Amphibians
2945,Anaxyrus fowleri,Fowler's Toad,Animalia,Amphibians
2953,Bufo gargarizans,Asiatic Toad,Animalia,Amphibians
2954,Bufo spinosus,Giant Toad,Animalia,Amphibians
2958,Duttaphrynus melanostictus,Common Indian Toad,Animalia,Amphibians
3023,Chalcorana chalconota,Schlegel's Frog,Animalia,Amphibians
3045,Rana italica,Italian Stream Frog,Animalia,Amphibians
3069,Hynobius leechii,Northeastern China Hynobiid Salamander,Animalia,Amphibians
3070,Aneides aeneus,Green Salamander,Animalia,Amphibians
3086,Eurycea wilderae,Blue Ridge Two-lined Salamander,Animalia,Amphibians
3096,Pseudotriton ruber,Red Salamander,Animalia,Amphibians
3102,Salamandra salamandra,Fire Salamander,Animalia,Amphibians
3151,Elanus caeruleus,Black-winged Kite,Animalia,Birds
3153,Geranoaetus albicaudatus,White-tailed Hawk,Animalia,Birds
3154,Geranoaetus melanoleucus,Black-chested Buzzard-Eagle,Animalia,Birds
3157,Gypaetus barbatus,Bearded Vulture,Animalia,Birds
3183,Spilornis cheela,Crested Serpent Eagle,Animalia,Birds
3234,Cereopsis novaehollandiae,Cape Barren Goose,Animalia,Birds
3255,Mareca strepera,Gadwall,Animalia,Birds
3266,Sarkidiornis melanotos,Comb Duck,Animalia,Birds
3301,Amazilia tzacatl,Rufous-tailed Hummingbird,Animalia,Birds
3316,Colibri cyanotus,Lesser Violetear,Animalia,Birds
3323,Lampornis clemenciae,Blue-throated Hummingbird,Animalia,Birds
3339,Cepphus columba,Pigeon Guillemot,Animalia,Birds
3342,Fratercula arctica,Atlantic Puffin,Animalia,Birds
3369,Pluvialis squatarola,Black-bellied Plover,Animalia,Birds
3443,Himantopus mexicanus,Black-necked Stilt,Animalia,Birds
3445,Recurvirostra avosetta,Pied Avocet,Animalia,Birds
3487,Tringa brevipes,Grey-tailed Tattler,Animalia,Birds
3512,Chalcophaps indica,Asian Emerald Dove,Animalia,Birds
3524,Hemiphaga novaeseelandiae,New Zealand Pigeon,Animalia,Birds
3543,Treron vernans,Pink-necked Green-Pigeon,Animalia,Birds
3563,Todiramphus sanctus,Sacred Kingfisher,Animalia,Birds
3577,Momotus lessonii,Lesson's Motmot,Animalia,Birds
3638,Pternistis capensis,Cape Spurfowl,Animalia,Birds
3680,Gerygone igata,Grey Warbler,Animalia,Birds
3690,Aegithina tiphia,Common Iora,Animalia,Birds
